,name,Classic,Outstanding,Very Good,Good
206,plum,165,5195,7832,926
207,plump,NA,471,880,134
208,pretty,31,933,1939,314
209,price,NA,542,1143,242
210,profile,NA,NA,NA,139
211,prune,NA,533,1060,156
212,quality,48,781,923,207
213,quite,32,1044,1837,289
214,raisin,NA,NA,846,176
215,raisiny,NA,NA,NA,157
216,raspberry,223,3561,4662,852
217,rather,NA,482,1540,269
218,raw,NA,NA,849,262
219,ready,64,1400,3155,365
220,redfruit,NA,NA,NA,143
221,refreshing,NA,1152,2384,131
222,resiny,NA,NA,NA,165
223,rich,614,9328,6993,340
224,richness,235,2294,1878,137
225,right,70,1112,1095,132
226,ripe,637,11992,13394,967
227,roasted,44,875,1536,214
228,rose,126,1750,2203,364
229,rough,NA,NA,NA,216
230,round,26,1149,2312,215
231,rubber,NA,NA,NA,150
232,rubbery,NA,NA,NA,247
233,rustic,NA,NA,809,380
234,salty,NA,NA,NA,159
235,sauvignon,130,2987,3918,454
236,savory,95,2559,2366,164
237,scents,108,1398,1715,213
238,seem,NA,NA,NA,186
239,seems,35,579,1232,337
240,sharp,NA,NA,1004,494
241,short,NA,NA,761,391
242,show,54,1499,1690,191
243,showing,108,1642,1615,189
244,shows,293,4990,5560,672
245,side,NA,665,1222,252
246,silky,77,1445,1187,140
247,simple,NA,NA,2360,1351
248,slightly,26,1057,3247,744
249,smelling,NA,NA,NA,193
250,smells,NA,NA,751,419
251,smoke,75,1375,1365,127
252,smoky,150,1901,2042,267
253,smooth,157,3031,3624,232
254,soft,126,3419,8229,1767
255,solid,74,1455,2069,133
256,somewhat,NA,NA,937,237
257,sour,NA,NA,1182,506
258,spice,448,8129,9383,818
259,spicy,94,2866,3864,379
260,stalky,NA,NA,NA,309
261,starts,NA,NA,NA,126
262,stewed,NA,NA,NA,125
263,sticky,NA,NA,NA,139
264,still,250,2981,2364,210
265,strawberry,75,1479,2222,381
266,strong,57,1178,1426,249
267,structure,334,3982,2932,353
268,style,70,1942,2997,316
269,sugar,33,574,971,268
270,sugary,NA,NA,NA,327
271,suggest,NA,NA,NA,150
272,sweet,279,3641,6409,2068
273,sweetness,81,720,1301,357
274,syrah,54,2221,2626,325
275,syrupy,NA,NA,NA,135
276,tangy,38,1112,1929,260
277,tannic,115,2373,3212,638
278,tart,75,1907,3445,737
279,taste,NA,611,928,360
280,tastes,31,793,1950,962
281,tasting,NA,NA,NA,162
282,texture,301,5418,5956,706
283,thats,86,1443,1799,343
284,theres,72,1783,3125,713
285,thick,38,978,1101,211
286,thin,NA,NA,NA,486
287,though,30,605,876,138
288,tight,139,2133,2550,259
289,time,230,2360,1581,156
290,toast,151,2226,2889,326
291,tobacco,152,2587,2204,208
292,tomato,NA,NA,854,217
293,tones,32,1039,1522,171
294,touch,127,2756,4993,642
295,tough,NA,NA,NA,215
296,tropical,52,1061,2163,362
297,turns,NA,NA,NA,176
298,underripe,NA,NA,NA,129
299,unripe,NA,NA,NA,128
300,vanilla,158,3857,5891,783
301,varietal,25,839,946,128
302,vegetal,NA,NA,NA,314
303,vintage,257,2134,1617,170
304,warm,NA,864,1497,146
305,watery,NA,NA,NA,170
306,way,62,980,1245,293
307,weight,85,1420,1669,196
308,well,255,4998,4935,418
309,white,206,4302,7047,752
310,wild,145,1899,1720,154
311,wines,162,2199,2102,307
312,without,46,585,NA,171
313,wood,185,2648,2929,362
314,woody,NA,NA,NA,131
315,yeasty,NA,NA,NA,144
316,yet,252,2674,1669,161
317,young,147,1995,2004,155
318,zesty,45,976,1636,138
319,zin,NA,NA,NA,130
320,zinfandel,NA,NA,NA,142
321,accented,39,633,883,NA
322,accents,NA,759,890,NA
323,add,NA,763,943,NA
324,adds,55,742,866,NA
325,age,321,3318,1803,NA
326,aged,51,1063,1052,NA
327,alongside,89,1876,3317,NA
328,already,138,928,852,NA
329,anise,104,1332,1105,NA
330,appealing,NA,NA,698,NA
331,apples,25,636,989,NA
332,approachable,NA,487,697,NA
333,aromatic,103,1248,1211,NA
334,around,52,975,717,NA
335,backed,NA,537,839,NA
336,baking,95,1252,1059,NA
337,barrel,100,1590,1383,NA
338,blossom,25,668,817,NA
339,blue,61,813,794,NA
340,bold,53,1332,1118,NA
341,bottle,123,1341,1103,NA
342,bottling,114,1988,1442,NA
343,brings,38,1031,1231,NA
344,carry,NA,NA,959,NA
345,cedar,104,1491,1300,NA
346,chewy,NA,869,1051,NA
347,classic,99,968,714,NA
348,clove,109,1936,1765,NA
349,cocoa,30,757,779,NA
350,complex,302,3204,1170,NA
351,complexity,200,1824,1266,NA
352,concentrated,306,3966,2021,NA
353,concentration,145,1642,1086,NA
354,cool,NA,657,732,NA
355,core,143,1840,1596,NA
356,crushed,144,1692,1279,NA
357,cut,27,630,1026,NA
358,deep,96,1613,762,NA
359,delicate,44,1073,1579,NA
360,delicious,252,3087,1788,NA
361,delivers,119,1966,2025,NA
362,dense,274,3156,1873,NA
363,depth,114,1445,884,NA
364,drying,NA,NA,763,NA
365,easydrinking,NA,NA,822,NA
366,easygoing,NA,NA,879,NA
367,elegant,181,3076,1701,NA
368,enjoy,37,665,1218,NA
369,espresso,38,994,1330,NA
370,estate,75,1232,720,NA
371,exotic,105,1097,1077,NA
372,expression,49,852,826,NA
373,finishing,27,707,734,NA
374,first,88,1086,1029,NA
375,fleshy,NA,554,699,NA
376,flower,61,990,1823,NA
377,flowers,48,912,1161,NA
378,food,NA,NA,900,NA
379,forward,NA,670,1329,NA
380,fragrant,72,728,1066,NA
381,french,50,1053,1024,NA
382,generous,101,1844,1415,NA
383,glass,106,1623,1369,NA
384,grenache,NA,908,1091,NA
385,grilled,40,819,1098,NA
386,heres,NA,NA,894,NA
387,honeysuckle,NA,470,767,NA
388,intense,225,2121,1307,NA
389,intensity,119,982,787,NA
390,interesting,NA,491,726,NA
391,layers,145,1606,857,NA
392,lingering,56,1245,845,NA
393,long,267,3618,1844,NA
394,lush,89,1567,819,NA
395,mature,77,1187,1455,NA
396,meat,55,1088,1101,NA
397,midpalate,26,598,819,NA
398,mineral,174,2811,2820,NA
399,minerality,144,1915,1297,NA
400,mocha,71,1395,1270,NA
401,months,NA,713,1010,NA
402,nectarine,NA,531,1084,NA
403,needs,93,1296,993,NA
404,next,88,1269,831,NA
405,nicely,NA,863,1059,NA
406,olive,48,744,727,NA
407,open,53,716,934,NA
408,packed,88,1045,716,NA
409,peel,74,1036,1080,NA
410,perfumed,111,1230,1421,NA
411,petit,50,1037,825,NA
412,polished,108,1271,745,NA
413,pure,143,1376,847,NA
414,racy,NA,477,876,NA
415,raspberries,52,684,696,NA
416,riesling,34,976,1315,NA
417,rounded,35,1109,1529,NA
418,sage,40,811,857,NA
419,sangiovese,NA,606,1243,NA
420,set,33,555,691,NA
421,skin,NA,NA,745,NA
422,soon,NA,NA,1280,NA
423,spices,114,1494,1300,NA
424,stone,78,1358,1846,NA
425,straightforward,NA,NA,1344,NA
426,structured,264,3132,1710,NA
427,subtle,52,1189,1218,NA
428,supple,54,1020,874,NA
429,tangerine,57,858,1147,NA
430,tannin,45,922,882,NA
431,tea,56,933,721,NA
432,textured,60,1278,1123,NA
433,toasted,45,1111,1648,NA
434,toasty,72,1495,1493,NA
435,together,81,1140,1138,NA
436,touches,32,615,844,NA
437,two,32,751,829,NA
438,underbrush,43,527,693,NA
439,valley,59,1068,842,NA
440,variety,NA,686,884,NA
441,verdot,49,1006,771,NA
442,vibrant,97,1184,1214,NA
443,vineyards,69,1322,781,NA
444,violet,69,1069,832,NA
445,wet,NA,670,713,NA
446,whiff,53,935,1395,NA
447,years,496,4845,2270,NA
448,yellow,88,1672,2217,NA
449,zest,73,1252,1672,NA
450,across,NA,512,NA,NA
451,ample,NA,676,NA,NA
452,another,42,726,NA,NA
453,appellation,NA,691,NA,NA
